City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,cadale,2.7603,46.3222,26.66,83,2,4.16,SO,1731181509
146,kimbe,-5.5502,150.1429,24.44,92,73,1.83,PG,1731181510
147,demre,36.2537,29.9777,14.42,40,0,2.9,TR,1731181511
148,newman,37.3138,-121.0208,18.92,27,94,1.41,US,1731180929
149,evanston,42.0411,-87.6901,13.39,70,100,4.63,US,1731181513
150,nova sintra,14.8667,-24.7167,26.78,75,94,4.4,CV,1731181514
151,hadibu,12.65,54.0333,25.79,78,65,2.85,YE,1731181515
152,nuuk,64.1835,-51.7216,-1.66,80,100,5.14,GL,1731181492
153,prince george,53.9166,-122.753,-0.31,100,100,0.0,CA,1731181517
154,vila velha,-20.3297,-40.2925,22.97,96,75,6.71,BR,1731181420
155,talcahuano,-36.7167,-73.1167,15.82,77,100,4.12,CL,1731180671
156,college,64.8569,-147.8028,-14.01,78,75,0.0,US,1731181520
157,klyuchi,52.2667,79.1667,-2.83,51,100,9.7,RU,1731181522
158,sampit,-2.5333,112.95,23.51,98,100,0.47,ID,1731181523
159,uturoa,-16.7333,-151.4333,26.88,81,96,5.04,PF,1731180937
160,ust-nera,64.5667,143.2,-23.65,98,100,1.08,RU,1731181525
161,kingscliff,-28.2667,153.5667,21.89,94,100,1.54,AU,1731181526
162,saynshand,44.8824,110.1163,-0.44,32,0,3.17,MN,1731181527
163,lukolela,-1.0605,17.1821,20.77,98,100,1.49,CD,1731181528
164,hithadhoo,-0.6,73.0833,28.48,69,76,5.58,MV,1731181529
165,sittwe,20.15,92.9,24.22,80,1,2.84,MM,1731181530
166,iskateley,67.6803,53.1512,-3.45,77,97,6.73,RU,1731181532
167,isafjordur,66.0755,-23.124,4.56,91,100,2.98,IS,1731181533
168,praia da vitoria,38.7333,-27.0667,21.14,83,20,3.32,PT,1731181534
169,sebdou,34.637,-1.3314,16.98,63,100,3.56,DZ,1731181535
170,vorgashor,67.5833,63.95,-11.34,89,75,7.62,RU,1731181536
171,ushuaia,-54.8,-68.3,5.81,87,75,4.12,AR,1731181133
172,porbandar,21.6422,69.6093,27.28,61,6,4.0,IN,1731181497
173,prince albert,53.2001,-105.7677,8.97,61,75,5.14,CA,1731181539
174,las heras,-46.5419,-68.9359,16.3,18,2,17.88,AR,1731181540
175,kargil,34.5667,76.1,0.0,49,0,3.05,IN,1731181541
176,bredasdorp,-34.5322,20.0403,16.26,84,60,5.23,ZA,1731180979
177,vila franca do campo,37.7167,-25.4333,20.23,99,93,3.2,PT,1731181543
178,kialla,-36.4161,145.3954,9.84,47,82,2.06,AU,1731181545
179,puerto ayora,-0.7393,-90.3518,23.08,84,39,4.47,EC,1731181546
180,puerto yuca,2.9383,-73.2083,28.2,68,100,2.34,CO,1731181547
181,ko pha ngan,9.7578,100.0291,24.38,79,99,2.97,TH,1731181548
182,yigo village,13.5361,144.8886,25.97,92,20,2.57,GU,1731181549
183,murudeshwara,14.0943,74.4845,28.89,51,9,2.3,IN,1731181550
184,tindouf,27.6711,-8.1474,26.25,17,0,1.54,DZ,1731181551
